"Title","Original Author","Type","Uniform Title","Translation Title","Full Translation Title","Series/Journal","Publication Year","Place of Publication","Publisher","Pagination","Princeton Call Number","URL","Edition","Notes","Translator","Original Language","ISBN","Translation Language","Genre","Century","Additional Information"
"Libros de Retórica","George, of Trebizond, 1396-1486","Book","","Libros de Retórica","Libros de Retórica : libros I y II. Estudio preliminar, traducción e índices
","Colección Clásicos del Pensamiento. Tercer Milenio 119","2013","Madrid","Editorial Tecnos","275 p.","","","","","Sánchez Manzano, María Asunción","Greek","9788430957354","Spanish","Rhetoric","15th",""
"Sobre las imágenes sagradas","John, of Damascus, Saint","Book","","Sobre las imágenes sagradas","Sobre las imágenes sagradas : introducción, edición bilingüe y notas
","","2013","Pamplona","EUNSA","331 p.","","","","","Torres Guerra, José B","Greek","978-84-313-29280","Spanish","Theology|Iconoclasm","8th",""
"A review of Logos 38 of Nikon of the Black Mountain ","Nikon, of the Black Mountain","Edited book","","A review of Logos 38 of Nikon of the Black Mountain ","A review of Logos 38 of Nikon of the Black Mountain : introduction, text and translation IN: East and West in the Medieval Eastern Mediterranean II. Antioch from the Byzantine reconquest until the end of the crusader principality, 277-322","Orientalia Lovaniensia analecta 199","2013","Leuven ; Dudley, Mass. ","Peeters","","","","","","Aerts, W. J.","Greek","9789042923935","English","Theology|Liturgy|Law","11th",""
"Accounts of medieval Constantinople : the Patria","","Book","Patria","Accounts of medieval Constantinople : the Patria ","Accounts of medieval Constantinople : the Patria","Dumbarton Oaks medieval library 24","2013","Cambridge, Massachusetts","Harvard University Press","357 p.","","","","","Berger, Albrecht","Greek","","English","Constantinople","9th|10th|11th",""
"Consilia et narrationes","Kekaumenos","Book","","Consilia et narrationes","Consilia et narrationes : Greek text, English translation and commentary by Charlotte Roueché","","2013","[London]","Sharing Ancient Wisdoms (SAWS)","","","http://www.ancientwisdoms.ac.uk/library/kekaumenos-consilia-et-narrationes/","","","Roueché, Charlotte","Greek","978-1-897747-29-2","English","Military|Literature","11th",""
"Empress Piroska-Eirene’s Collaborators in the Foundation of the Pantokrator Monastery : The Testimony of Nikolaos Kataphloron","Kataphloron, Nicholas","Edited Book","","Empress Piroska-Eirene’s Collaborators in the Foundation of the Pantokrator Monastery : The Testimony of Nikolaos Kataphloron","Empress Piroska-Eirene’s Collaborators in the Foundation of the Pantokrator Monastery : The Testimony of Nikolaos Kataphloron IN: The Pantokrator Monastery in Constantinople, 191-201","Byzantinisches Archiv 27","2013","Boston ; Berlin","De Gruyter","","","","","Translation of Scr. Y II 10 (265), f. 331-332.
","Loukaki, Marina","Greek","978-1-61451-599-9","English","Speeches|Churches|Monasticism","12th",""
"Encheiridion and spurious works","Domninus, of Larissa","Book","","Encheiridion and spurious works","Encheiridion and spurious works : introduction, critical text, English translation, and commentary by Peter Riedlberger","Mathematica graeca antiqua 2","2013","Pisa ; Roma","Serra","279 p.","","","","","Riedlberger, Peter","Greek","9788862275675","English","Mathematics","5th",""
"Jacob of Sarug's homily on the sinful woman","Jacob, of Serug, 451-521","Book","","Jacob of Sarug's homily on the sinful woman","Jacob of Sarug's homily on the sinful woman","Texts from Christian late antiquity 33. The metrical homilies of Mar Jacob of Sarug","2013","Piscataway, NJ","Gorgias Press","128","","","","","Johnson, Scott Fitzgerald","Syriac","9781617198342","English","Sermons","5th|6th",""
"Light on the mountain","Origen|Cyril, Saint, Patriarch of Alexandria, ca. 370-444|John Chrysostom, Saint, d. 407|Leontius, Presbyter of Constantinople, 5th/6th cent.|Athanasius, Saint, Patriarch of Alexandria, d. 373|Anastasius, Sinaita, Saint, fl. 640-700|Andrew, of Crete, Saint, ca. 660-740|John, of Damascus, Saint|Leo VI, Emperor of the East, 866-912|Neophytos Enkleistos|Theoleptos, Metropolitan of Philadelphia, ca. 1250-ca. 1326|Chumnus, Nicephorus, ca. 1250- ca.1327|Gregory, Sinaites, Saint, ca. 1265-1346|Gregory Palamas, Saint, 1296-1359","Book","","Light on the mountain","Light on the mountain : Greek Patristic and Byzantine homilies on the Transfiguration of the Lord","Popular patristics series 48","2013","Yonkers, NY","St Vladimir's Seminary Press","378 p.","","","","Origen -- John Chrysostom -- Proclus of Constantinople -- Cyril of Alexandria -- Pantoleon -- Leontius, presbyter of Constantinople -- Patriarch Anastius I of Antioch -- Timothy of Antioch -- Anonymous -- Anastasius of Sinai -- Andrew of Crete -- John of Damascus -- Emperor Leo VI (""Leo the Wise"") -- Philagathos of Cerami -- Neophytos the Recluse -- Theoleptos of Philadelphia -- Nikephoros Choumnos -- Pseudo-Chrysostom -- Gregory the Sinaite -- Gregory Palamas.
","Daley, Brian","Greek","9780881414677","English","Theology","3rd|4th|5th|6th|7th|8th|9th|12th|13th|14th",""
"Manuel Philes and the Asan family","Philes, Manuel","Journal article","","Manuel Philes and the Asan family","Manuel Philes and the Asan family : two inedited poems and their context in Philes œuvre (including edition princeps)","Jahrbuch der österreichischen Byzantinistik 63, 177-198","2013","","","","","","","","Kubina, Krystina","Greek","","English","Poems","14th",""
"On celestial signs (De ostentis)","Lydus, Johannes Laurentius, 490-ca. 565","Book","De ostentis","On celestial signs (De ostentis)","On celestial signs (De ostentis) : translated and edited by Anastasius C. Bandy with associate editors Anastasia Bandy, Demetrios J. Constantelos and Craig J. N. de Paulo ; preface by Michael Maas","","2013","Lewiston","Edwin Mellen Press","xxxii, 271","","","","","Bandy, Anastasius C.","Greek","9780773445246","English","Astrology|Astronomy","6th",""
"On the months (De mensibus)","Lydus, Johannes Laurentius, 490-ca. 565","Book","","On the months (De mensibus)","On the months (De mensibus) : translated and edited by Anastasius C. Bandy with assiociate editors Anastasia Bandy, Demetrios J. Constantelos, and Craig J. N. de Paulo ; preface by Michael Maas.","","2013","Lewiston","Edwin Mellen Press","xxxiii, 305","","","","","Bandy, Anastasius C.","Greek","9780773445222","English","Calendars","6th",""
"Pseudo-Kodinos and the Constantinopolitan court","Pseudo-Kodinos","Book","Ta tōn ophphikiōn tōn Vasileōn Konstantinoupoleōs onomata kai tōn ophphikiōn tēs Megalēs Ekklēsias","Pseudo-Kodinos and the Constantinopolitan court","Pseudo-Kodinos and the Constantinopolitan court : offices and ceremonies","Birmingham Byzantine and Ottoman studies 15","2013","Farnham, Surrey, UK ; Burlington, VT","Ashgate","xxii, 540 p.","","","","","Macrides, R. J.|Munitiz, Joseph A.|Angelov, Dimiter","Greek","9780754667520","English","Politics and government|Ceremony","14th",""
"Secular orations 1167/8 to 1179","Eustathius, Archbishop of Thessalonica, d. ca. 1194","Book","","Secular orations 1167/8 to 1179","Secular orations 1167/8 to 1179","Byzantina Australiensia 19","2013","Brisbane","Australian Association for Byzantine Studies","","","","","","Stone, Andrew F.","Greek","978-1-876503-36-9","English","Speeches","12th",""
"The Anonymous Sayings of the Desert Fathers","Anonymous","Book","Apophthegmata Patrum","The Anonymous Sayings of the Desert Fathers","The anonymous sayings of the Desert Fathers : a select edition and complete English translation","","2013","New York","Cambridge U. Press","","","","","The Tales and Sayings of the Desert Fathers (Apophthegmata Patrum) are a key source of evidence for the practice and theory respectively of eremitic monasticism, a significant phenomenon within the early history of Christianity. The publication of this book finally ensures the availability of all three major collections which constitute the work, edited and translated into English. Richer in Tales than the 'Alphabetic' collection to which this is an appendix (both to be dated c.AD 500), the 'Anonymous' collection presented in this volume furnishes almost as much material for the study of the late antique world from which the monk sought to escape as it does for the monastic endeavour itself. More material continued to be added well into the seventh century and so the spread and gradual evolution of monasticism are illustrated here over a period of about two and a half centuries.
","Wortley, John","Greek","9780521509886","English","Saints lives|Monasticism","5th|6th|7th",""
"The foundation of the Pantokrator monastery in its urban setting","","Journal article","","The foundation of the Pantokrator monastery in its urban setting","The foundation of the Pantokrator monastery in its urban setting IN: The Pantokrator Monastery in
Constantinople, 33–55.
","Byzantinisches Archiv 27","2013","Boston ; Berlin","De Gruyter","264 p.","","","","Contains an English translation of a poem from the monastery's inauguration.
","Magdalino, Paul","Greek","9781614515999","English","Poems|Churches","12th",""
"The funerary speech for John Chrysostom","","Book","Oratio funebris in laudem sancti Iohannis Chrysostomi","The funerary speech for John Chrysostom","The funerary speech for John Chrysostom","Translated texts for historians 60","2013","Liverpool","Liverpool University Press","viii, 193 p.","","","","Funerary speech for Bishop John --; John's letters from exile --; Appendix A:; The Council of the Oak --; Appendix B:; Theodoret's lost orations on John --; Appendix C:; John in the calendar of the church of Constantinople --; Appendix D:; Concordance to the Funerary speech --; Appendix E:; Concordance to editions of Palladius, Historical dialogue --; Appendix F:; Concordance to John's Letters to Olympias.
","Barnes, Timothy David|Bevan, George","Greek","9781846318870","English","Saints lives","5th",""
"The life of Patriarch Ignatius","Nicetas, the Paphlagonian, 10th cent.","Book","Vita Ignatii Patriarchae","The life of Patriarch Ignatius","The life of Patriarch Ignatius = Vita Ignatii Patriarchae : text and translation by Andrew Smithies, with notes by John M. Duffy ","Dumbarton Oaks texts 13; Corpus Fontium Historiae Byzantinae 51","2013","Washington, D.C. ","Dumbarton Oaks Research Library and Collection","xxxvii, 194","","","","","Smithies, Andrew","Greek","9780884023814","English","Saints lives|Iconoclasm","10th",""
"The life of Saint Symeon the new theologian ","Nikētas, ho Stēthatos, ca. 1000-ca. 1090","Book","","The life of Saint Symeon the new theologian ","The life of Saint Symeon the new theologian ","Dumbarton Oaks medieval library 20","2013","Cambridge, Mass. ","Harvard University Press","422 p.","","","","","Greenfield, Richard P.H.","Greek","9780674057982","English","Saints lives","11th",""
"The Panarion of Epiphanius of Salamis, Books II and III, De fide","Epiphanius, Saint, Bishop of Constantia in Cyprus, ca. 310-403","Book","","The Panarion of Epiphanius of Salamis, Books II and III, De fide","The Panarion of Epiphanius of Salamis, Books II and III, De fide","Nag Hammadi and Manichaean studies 79","2013","Leiden ; Boston","Brill","696 p.","","","","","Williams, Frank","Greek","9789004228412","English","Theology","4th",""
"Three unpublished texts on Christ’s unique will and operation from the Syriac florilegium in the ms. London, British Library, Add. 14535","George, the monk","Journal article","","Three unpublished texts on Christ’s unique will and operation from the Syriac florilegium in the ms. London, British Library, Add. 14535","Three unpublished texts on Christ’s unique will and operation from the Syriac florilegium in the ms. London, British Library, Add. 14535","Millennium 10, 115-144","2013","","","","","","","","Conterno, Maria","Syriac","","English","Theology","7th|8th",""
"Treasury","Theognostos","Book","","Treasury","Treasury","Corpus Christianorum in Translation 16","2013","Turnhout, Belgium","Brepols","310 p.","","","","","Munitiz, Joseph A.","Greek","978-2-503-55106-7","English","Education|Theology","13th",""
"Two early lives of Severos, Patriarch of Antioch","Zacharias, Bishop of Mytilene","Book","","Two early lives of Severos, Patriarch of Antioch","Two early lives of Severos, Patriarch of Antioch","Translated texts for historians 59","2013","Liverpool","Liverpool University Press","viii, 175 p.","","","","Severos : outline of his life -- The main theological issues -- The biographical materials for the life of Severos -- Zacharias -- Anonymous life (attributed to John of Beth Aphtonia) -- The present translations -- Zacharias, 'Life' of Severos -- Anonymous life of Severos, attributed to John of Beth Aphtonia -- Glossary -- Appendix : bishops of the Five Main Sees, c. mid-fifth to mid-sixth centuries.
","Brock, Sebastian P.|Fitzgerald, Brian","Syriac","9781846318825","English","Saints lives","6th",""
"Violence in Roman Egypt","","Book","","Violence in Roman Egypt","Violence in Roman Egypt : a study in legal interpretation","","2013","Philadelphia","University of Pennsylvania Press","363 p.","","","","","Bryen, Ari Z.","Greek","978-0-8122-4508-0","English","Papyri|Law","1st|2nd|3rd|4th|5th|6th",""
"I manoscritti e il testo di quattro Ἕτερα κεφάλαια","Symeon, the New Theologian, Saint, 949-1022","Edited Book","","I manoscritti e il testo di quattro Ἕτερα κεφάλαια","I manoscritti e il testo di quattro Ἕτερα κεφάλαια : da Simeone il Nuovo Teologo a Gregorio Palamas IN: Vie per Bisanzio, 323-341
 ","Due punti 25","2013","Bari","Edizioni di Pagina","2 v.","","","","","Rigo, Antonio","Greek","9788874702299","Italian","Theology|Mysticism","11th",""
"Il “Canto di Armuris”","","Edited Book","Song of Armoures","Il “Canto di Armuris”","Il “Canto di Armuris"" : una traduzione come strumento di indagine; elementi di ‘traduzione metatestuale’, ovvero metatesto per una ‘traduzione totale’ IN: Vie per Bisanzio, 167-190","Due punti 25","2013","Bari","Edizioni di Pagina","2 v.","","","","","Carpinato, Caterina","Greek","9788874702299 ","Italian","Poems","9th",""
"Dialogue avec un moine contre les Latins (1442)","Agallianos, Theodōros","Book","","Dialogue avec un moine contre les Latins (1442)","Dialogue avec un moine contre les Latins (1442)","Byzantina Sorbonensia 27","2013","Paris ","Publications de la Sorbonne","251","","","","Édition critique, traduction française et commentaire par Marie-Hélène Blanchet.
","Blanchet, Marie-Hélène","Greek","","French","Theology","15th",""
"Les Zélotes : une révolte urbaine à Thessalonique au 14è siècle","John VI Cantacuzenus, Emperor of the East, 1292-1383|Gregoras, Nicephorus, 1295-1359 or 60|Akindynos, Gregorios, ca. 1300-ca. 1349|Philotheos Kokkinos, Patriarch of Constantinople, 1300-1379","Book","","Les Zélotes : une révolte urbaine à Thessalonique au 14è siècle","Les Zélotes : une révolte urbaine à Thessalonique au 14è siècle","Textes Dossiers Documents, 18","2013","Paris","Beauchesne","199 p.","","","","","Congourdeau, Marie-Hélène","Greek","9782701020013","French","History|Thessaloniki","14th",""
"Un recueil inédit de miracles de Cyr et Jean dans le Koutloumousiou 37","Cyril, of Scythopolis, ca. 524-ca. 558|John the Hesychast","Journal article","","Un recueil inédit de miracles de Cyr et Jean dans le Koutloumousiou 37","Un recueil inédit de miracles de Cyr et Jean dans le Koutloumousiou 37","Rivista di studi bizantini e neoellenici n.s. 49, 199-220","2013","","","","","","","","Déroche, Vincent","Greek","","French","Saints lives","6th|7th",""
"Стихотворное Житие св.Льва Катанского (ΒΗG 981c)","Leo, of Catania","Edited Book","","Стихотворное Житие св.Льва Катанского (ΒΗG 981c)","Стихотворное Житие св.Льва Катанского (ΒΗG 981c) IN: ΘΕΟΔΟΥΛΟΣ : Сборник статей памяти профессора Игоря Сергеевича Чичурова, 32-44","","2012","Moskva","Pravoslavnyĭ Svi︠a︡to-Tikhonovskiĭ gumanitarnyĭ universitet","","","","","","Afinogenov, D. E.","Greek","9785742907671","Russian","Saints lives","9th",""
"Halōsē 1453","Leonard, of Chios, Archbishop of Mytilene, 1395 or 1396-1459|Lommelino, Angelo Giovanni, active 15th century","Book","","Halōsē 1453","Halōsē 1453 : dyo latinika ntokoumenta gia tēn ptōsē tēs Polēs, Leonardos Chios kai Lommelino","","2012","Athēna","Omni Publishing","182 p.","","","","","Tsopanēs, Kōnstantinos","Latin","9786188041400","Greek (Modern)","History|Constantinople","15th",""
"Σύνοψις Ἱστοριῶν (Τόμος Α’)","Scylitzes, John, fl. 1081","Book","","Σύνοψις Ἱστοριῶν (Τόμος Α’)","Σύνοψις Ἱστοριῶν (Τόμος Α’)","Keimena Vyzantinēs historiographias 17","2012","Athena","Kanakes","868 p.","","","","","Tsolakēs, Eudoxos Th.","Greek","978-960-7420-95-4","Greek (Modern)","History","11th",""
"Der unedierte Brief des Gregorios Antiochos an den Patriarchen Basileios Kamateros","Antiochos, Grēgorios, ca. 1130-ca. 1200","Journal Article","","Der unedierte Brief des Gregorios Antiochos an den Patriarchen Basileios Kamateros","Der unedierte Brief des Gregorios Antiochos an den Patriarchen Basileios Kamateros","Rivista di Studi Bizantini e Neoellenici 48, 93-122","2012","","","","","","","","Sideras, Alexander","Greek","","German","Letters","12th",""
"Quellen zur Geschichte der byzantinischen Krim","","Book","","Quellen zur Geschichte der byzantinischen Krim","Quellen zur Geschichte der byzantinischen Krim","Monographien (Römisch-Germanisches Zentralmuseum Mainz. Forschungsinstitut für Vor- und Frühgeschichte) 101","2012","Mainz","Verlag des Römisch-Germanischen Zentralmuseums","viii, 355 p.","","","","","Albrecht, Stefan","Greek|Latin|Slavonic","","German","History|Crimea","6th|7th|8th|9th|10th|11th|12th",""
" Romanos the Melodist","Romanus, Melodus, Saint, 6th cent.","Book","","Romanos the Melodist","Romanos the Melodist : poet and preacher","","2012","Somerset West, Western Cape, RSA","Barkhuisen","142 p.","","","","Introduction with annotated translation of selected poetic homilies [by] J. H. Barkhuisen.
","Barkhuizen, J. H.","Greek","9780620534260","English","Hymns","6th",""
